"ARM","Timepoint","N","Mean","SD"
"Darbepoetin Alfa","Baseline",193,61.9,20
"Darbepoetin Alfa","Week 7",187,66.9,17.7
"Darbepoetin Alfa","Week 13",160,68.5,17.3
"Darbepoetin Alfa","Week 24",78,70.1,17.5
"Darbepoetin Alfa","Week 50",22,61.2,14.6
"Darbepoetin Alfa","End of Study",198,67,19.3
"Placebo","Baseline",183,61,21.7
"Placebo","Week 7",178,65.5,18.4
"Placebo","Week 13",162,66.1,19.2
"Placebo","Week 24",88,67.9,22.1
"Placebo","Week 50",15,66.1,12.9
"Placebo","End of Study",190,64.5,22.9
