"ARM","Timepoint","N","Mean","SD"
"Darbepoetin Alfa","Baseline",198,0.7,0.3
"Darbepoetin Alfa","Week 7",192,0.7,0.3
"Darbepoetin Alfa","Week 13",161,0.7,0.3
"Darbepoetin Alfa","Week 24",80,0.7,0.3
"Darbepoetin Alfa","Week 50",23,0.7,0.2
"Darbepoetin Alfa","End of Study",199,0.7,0.3
"Placebo","Baseline",190,0.6,0.3
"Placebo","Week 7",182,0.7,0.3
"Placebo","Week 13",168,0.7,0.3
"Placebo","Week 24",88,0.7,0.3
"Placebo","Week 50",15,0.8,0.2
"Placebo","End of Study",193,0.6,0.4
