"ARM","Timepoint","N","Mean","SD"
"Darbepoetin Alfa","Baseline",200,69.3,16.1
"Darbepoetin Alfa","Week 7",195,71.5,18
"Darbepoetin Alfa","Week 13",166,71,17.1
"Darbepoetin Alfa","Week 24",81,73,16.2
"Darbepoetin Alfa","Week 50",24,71.7,13.2
"Darbepoetin Alfa","End of Study",200,70,17.8
"Placebo","Baseline",190,69.1,16.3
"Placebo","Week 7",183,71.8,17.2
"Placebo","Week 13",171,71.2,17.9
"Placebo","Week 24",86,74.2,18.1
"Placebo","Week 50",16,69.5,16.2
"Placebo","End of Study",194,69.9,19.8
