"ARM","Timepoint","N","Mean","SD"
"Darbepoetin Alfa","Baseline",193,61.907,20.043
"Darbepoetin Alfa","End of Study",198,67.033,19.339
"Placebo","Baseline",183,61.049,21.741
"Placebo","End of Study",190,64.463,22.894
